"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094290","1986-10-01","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,","    0","P,,0,","    0",",,0,","  150",",,0","   89",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-02","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  139",",,0","  100",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-03","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  167",",,0","   94",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-04","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  194",",,0","  128",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-05","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  189",",,0","  117",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-06","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  144",",,0","  117",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-07","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  183",",,0","  117",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-08","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  144",",,0","  106",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-09","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  189",",,0","  106",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-10","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  183",",,0","   89",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094290","1986-10-11","47.6872","-122.2553","18.3","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","    0",",,0,2400","    0","P,,0,","    0","P,,0,","  217",",,0","   67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
