"","UniID","mom","ID","temp","active","instar","dur_class","Mo","year"
"1","1 1","1",1,11,"y",4,0,9.41,"2024"
"2","1 1","1",1,11,"y",4,6,9.41,"2024"
"3","1 1","1",1,11,"y",4,24,9.41,"2024"
"4","1 2","1",2,11,"y",4,0,10.65,"2024"
"5","1 2","1",2,11,"y",4,6,10.65,"2024"
"6","1 2","1",2,11,"y",4,24,10.65,"2024"
"7","1 3","1",3,11,"y",4,0,11.88,"2024"
"8","1 3","1",3,11,"y",4,6,11.88,"2024"
"9","1 3","1",3,11,"y",4,24,11.88,"2024"
"10","1 4","1",4,11,"y",4,0,9.86,"2024"
"11","1 4","1",4,11,"n",4,6,9.86,"2024"
"12","1 4","1",4,11,"y",4,24,9.86,"2024"
"13","1 5","1",5,11,"y",4,0,12.6,"2024"
"14","1 5","1",5,11,"y",4,6,12.6,"2024"
"15","1 5","1",5,11,"y",4,24,12.6,"2024"
"16","2 1","2",1,11,"y",4,0,14.07,"2024"
"17","2 1","2",1,11,"y",4,6,14.07,"2024"
"18","2 1","2",1,11,"y",4,24,14.07,"2024"
"19","2 2","2",2,11,"y",4,0,9.76,"2024"
"20","2 2","2",2,11,"y",4,6,9.76,"2024"
"21","2 2","2",2,11,"y",4,24,9.76,"2024"
"22","2 3","2",3,11,"y",4,0,12.76,"2024"
"23","2 3","2",3,11,"y",4,6,12.76,"2024"
"24","2 3","2",3,11,"y",4,24,12.76,"2024"
"25","2 4","2",4,11,"y",4,0,8.67,"2024"
"26","2 4","2",4,11,"y",4,6,8.67,"2024"
"27","2 4","2",4,11,"y",4,24,8.67,"2024"
"28","5 1","5",1,11,"y",4,0,10.21,"2024"
"29","5 1","5",1,11,"y",4,6,10.21,"2024"
"30","5 1","5",1,11,"y",4,24,10.21,"2024"
"31","1 6","1",6,17,"y",4,0,9.38,"2024"
"32","1 6","1",6,17,"y",4,6,9.38,"2024"
"33","1 6","1",6,17,"y",4,24,9.38,"2024"
"34","1 7","1",7,17,"y",4,0,16.55,"2024"
"35","1 7","1",7,17,"y",4,6,16.55,"2024"
"36","1 7","1",7,17,"y",4,24,16.55,"2024"
"37","1 8","1",8,17,"y",4,0,14.33,"2024"
"38","1 8","1",8,17,"y",4,6,14.33,"2024"
"39","1 8","1",8,17,"y",4,24,14.33,"2024"
"40","1 9","1",9,17,"y",4,0,9.19,"2024"
"41","1 9","1",9,17,"y",4,6,9.19,"2024"
"42","1 9","1",9,17,"y",4,24,9.19,"2024"
"43","1 10","1",10,17,"y",4,0,12.7,"2024"
"44","1 10","1",10,17,"y",4,6,12.7,"2024"
"45","1 10","1",10,17,"y",4,24,12.7,"2024"
