"","UniID","mom","ID","temp","active","instar","time","duration","Mo","fw","time.per","mgain","Jdate","rgrlog","gr"
"1","1 1","1",1,11,"y",4,0,0,9.41,9.41,"current",0,122,NA,NA
"2","1 1","1",1,11,"y",4,6,6,9.41,9.73,"current",0.32,122,0.00242053614018249,0.0533333333333334
"3","1 1","1",1,11,"y",4,24,-6.16666666666667,9.41,11.91,"current",2.5,123,0.00426342241898002,0.104166666666667
"4","1 2","1",2,11,"y",4,0,0,10.65,10.65,"current",0,122,NA,NA
"5","1 2","1",2,11,"y",4,6,6,10.65,12.7,"current",2.05,122,0.0127423521968667,0.341666666666667
"6","1 2","1",2,11,"y",4,24,-6.16666666666667,10.65,14.88,"current",4.23,123,0.00605222180979597,0.17625
"7","1 3","1",3,11,"y",4,0,0,11.88,11.88,"current",0,122,NA,NA
"8","1 3","1",3,11,"y",4,6,6,11.88,13.31,"current",1.43,122,0.00822693580491674,0.238333333333333
"9","1 3","1",3,11,"y",4,24,-6.16666666666667,11.88,14.32,"current",2.44,123,0.00338027405527759,0.101666666666667
"10","1 4","1",4,11,"y",4,0,0,9.86,9.86,"current",0,122,NA,NA
"11","1 4","1",4,11,"y",4,24,-6.16666666666667,9.86,11.74,"current",1.88,123,0.00315796591543269,0.0783333333333334
"12","1 5","1",5,11,"y",4,0,0,12.6,12.6,"current",0,122,NA,NA
"13","1 5","1",5,11,"y",4,6,6,12.6,13.14,"current",0.540000000000001,122,0.00303747001769983,0.0900000000000001
"14","1 5","1",5,11,"y",4,24,-6.16666666666667,12.6,16.77,"current",4.17,123,0.00517343822868845,0.17375
"15","2 1","2",1,11,"y",4,0,0,14.07,14.07,"current",0,122,NA,NA
"16","2 1","2",1,11,"y",4,6,6,14.07,16.93,"current",2.86,122,0.0133938101123649,0.476666666666667
"17","2 1","2",1,11,"y",4,24,-6.16666666666667,14.07,22.64,"current",8.57,123,0.00860759687839533,0.357083333333333
"18","2 2","2",2,11,"y",4,0,0,9.76,9.76,"current",0,122,NA,NA
"19","2 2","2",2,11,"y",4,6,6,9.76,10.68,"current",0.92,122,0.00652023917097431,0.153333333333333
"20","2 2","2",2,11,"y",4,24,-6.16666666666667,9.76,13.06,"current",3.3,123,0.00527055663634847,0.1375
"21","2 3","2",3,11,"y",4,0,0,12.76,12.76,"current",0,122,NA,NA
"22","2 3","2",3,11,"y",4,6,6,12.76,15.71,"current",2.95,122,0.015054251775805,0.491666666666667
"23","2 3","2",3,11,"y",4,24,-6.16666666666667,12.76,18.12,"current",5.36,123,0.00634614662315212,0.223333333333333
"24","2 4","2",4,11,"y",4,0,0,8.67,8.67,"current",0,122,NA,NA
"25","2 4","2",4,11,"y",4,6,6,8.67,11.39,"current",2.72,122,0.0197507711004817,0.453333333333333
"26","2 4","2",4,11,"y",4,24,-6.16666666666667,8.67,12.64,"current",3.97,123,0.00682199901958983,0.165416666666667
"27","5 1","5",1,11,"y",4,0,0,10.21,10.21,"current",0,122,NA,NA
"28","5 1","5",1,11,"y",4,6,6,10.21,13,"current",2.79,122,0.0174862683699878,0.465
"29","5 1","5",1,11,"y",4,24,-6.16666666666667,10.21,17.05,"current",6.84,123,0.0092791100517336,0.285
"30","1 6","1",6,17,"y",4,0,0,9.38,9.38,"current",0,122,NA,NA
"31","1 6","1",6,17,"y",4,6,6,9.38,11.17,"current",1.79,122,0.0126417224560908,0.298333333333333
"32","1 6","1",6,17,"y",4,24,-6.18333333333333,9.38,15.56,"current",6.18,123,0.0091586147614419,0.2575
"33","1 7","1",7,17,"y",4,0,0,16.55,16.55,"current",0,122,NA,NA
"34","1 7","1",7,17,"y",4,6,6,16.55,19.56,"current",3.01,122,0.0120951420566408,0.501666666666666
"35","1 7","1",7,17,"y",4,24,-6.18333333333333,16.55,31.94,"current",15.39,123,0.0118973714037803,0.64125
"36","1 8","1",8,17,"y",4,0,0,14.33,14.33,"current",0,122,NA,NA
"37","1 8","1",8,17,"y",4,6,6,14.33,17.1,"current",2.77,122,0.0127916533324682,0.461666666666667
"38","1 8","1",8,17,"y",4,24,-6.18333333333333,14.33,26.9,"current",12.57,123,0.0113960870668777,0.52375
"39","1 9","1",9,17,"y",4,0,0,9.19,9.19,"current",0,122,NA,NA
"40","1 9","1",9,17,"y",4,6,6,9.19,12.86,"current",3.67,122,0.024320909533682,0.611666666666667
"41","1 9","1",9,17,"y",4,24,-6.18333333333333,9.19,20.41,"current",11.22,123,0.014438645555415,0.4675
"42","1 10","1",10,17,"y",4,0,0,12.7,12.7,"current",0,122,NA,NA
"43","1 10","1",10,17,"y",4,6,6,12.7,16.58,"current",3.88,122,0.019296800876383,0.646666666666667
"44","1 10","1",10,17,"y",4,24,-6.18333333333333,12.7,27.75,"current",15.05,123,0.0141441361042808,0.627083333333333
"45","4 1","4",1,17,"y",4,0,0,12.02,12.02,"current",0,122,NA,NA
"46","4 1","4",1,17,"y",4,6,6,12.02,17.91,"current",5.89,122,0.0288651863637185,0.981666666666667
"47","4 1","4",1,17,"y",4,24,-6.18333333333333,12.02,28.17,"current",16.15,123,0.0154117658049605,0.672916666666667
"48","4 2","4",2,17,"y",4,0,0,8.81,8.81,"current",0,122,NA,NA
"49","4 2","4",2,17,"y",4,6,6,8.81,11.79,"current",2.98,122,0.0210896494471735,0.496666666666666
"50","4 2","4",2,17,"y",4,24,-6.18333333333333,8.81,20.69,"current",11.88,123,0.0154493575939036,0.495
"51","4 3","4",3,17,"y",4,0,0,9.81,9.81,"current",0,122,NA,NA
"52","4 3","4",3,17,"y",4,6,6,9.81,13.72,"current",3.91,122,0.0242808506651307,0.651666666666667
"53","4 3","4",3,17,"y",4,24,-6.18333333333333,9.81,18.61,"current",8.8,123,0.0115865569062841,0.366666666666667
"54","4 4","4",4,17,"y",4,0,0,10,10,"current",0,122,NA,NA
"55","4 4","4",4,17,"y",4,6,6,10,12.23,"current",2.23,122,0.0145710761727142,0.371666666666667
"56","4 4","4",4,17,"y",4,24,-6.18333333333333,10,18.15,"current",8.15,123,0.0107865262238388,0.339583333333333
"57","4 5","4",5,17,"y",4,0,0,8.3,8.3,"current",0,122,NA,NA
"58","4 5","4",5,17,"y",4,6,6,8.3,12.23,"current",3.93,122,0.0280580607767019,0.655
"59","4 5","4",5,17,"y",4,24,-6.18333333333333,8.3,21.81,"current",13.51,123,0.0174823988834428,0.562916666666667
"60","4 6","4",6,17,"y",4,0,0,9.9,9.9,"current",0,122,NA,NA
"61","4 6","4",6,17,"y",4,6,6,9.9,14.89,"current",4.99,122,0.029543250525771,0.831666666666667
"62","4 6","4",6,17,"y",4,24,-6.18333333333333,9.9,23.59,"current",13.69,123,0.0157121977620019,0.570416666666667
"63","1 11","1",11,23,"y",4,0,0,18.84,18.84,"current",0,122,NA,NA
"64","1 11","1",11,23,"y",4,6,6,18.84,29.2,"current",10.36,122,0.03171699216526,1.72666666666667
"65","1 11","1",11,23,"y",4,24.0166666666667,-6.16666666666667,18.84,49.83,"current",30.99,123,0.0175882021671422,1.29035392088827
"66","1 12","1",12,23,"y",4,0,0,13.46,13.46,"current",0,122,NA,NA
"67","1 12","1",12,23,"y",4,6,6,13.46,17.39,"current",3.93,122,0.0185424203524591,0.655
"68","1 12","1",12,23,"y",4,24.0166666666667,-6.16666666666667,13.46,40.23,"current",26.77,123,0.0197989579188051,1.1146426092991
"69","1 13","1",13,23,"y",4,0,0,12.03,12.03,"current",0,122,NA,NA
"70","1 13","1",13,23,"y",4,6,6,12.03,17.46,"current",5.43,122,0.026963102004951,0.905
"71","1 13","1",13,23,"y",4,24.0166666666667,-6.16666666666667,12.03,41.14,"current",29.11,123,0.0222345035399942,1.21207494795281
"72","1 14","1",14,23,"y",4,0,0,11.1,11.1,"current",0,122,NA,NA
"73","1 14","1",14,23,"y",4,6,6,11.1,15.54,"current",4.44,122,0.0243546726130397,0.74
